text,airline_sentiment
"@united I am a frequent user. Congrats u only lost my bags once in 20 years. Problem, it was today and your staff were rude!😢 still no bag!",negative
@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.,negative
"@USAirways if it was so important, why did I wait on hold and then get hung up on by your computer?  #disappointed",negative
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",positive
@USAirways technical issues = inefficient computer triage system. Personality/ compassion of operators = not. Sad example of sad company.,negative
@USAirways the exhaustion of traveling n runnin thru the airport and tryin 2rent a car n not killin myself my family or anybody on the road,negative
@united that's brilliant Thankyou so much. Is it classed as part of carryon?,positive
"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",negative
"@SouthwestAir humor aside, we've been stuck on the plane for two hours at the gate because bags can't be loaded correctly. What gives?",negative
"@JetBlue All good, I just have 2 remind myself that if this was 1914 I might be on a horse &amp; buggy. So what's a little delay right.",negative
@USAirways Cancelled Flightled my flight then put me on a flight the next day.I need help from somebody other than a robot. PLEASE!!! Much appreciated,negative
"@JetBlue not ok to Cancelled Flight flight 1274 tmrw for ""weather"" &amp; to rebook 4 flight the next day when there is flight tmrw night. no compensation?",negative
@SouthwestAir You need to be more accommodating to your loyal customers. Not happy now!,negative
@USAirways standby so far for two of us. With snow storm hitting Iowa tomorrow we could be stuck here for two days.,negative
@united Can we get Any (free) upgrade because all the problems we've had? Our reservation is MKWLKR.,negative
"@AmericanAir @CAexhibitions Sorry in, like, a general way? Or sorry that incompetence/understaffing is compounding weather issues?",negative
@AmericanAir cannot understand how you are part of oneworld all other member treat their customers fairly #tcf #oldplanes #damageluggage,negative
"@SouthwestAir used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. 😔 why...so... few...direct...flights?",negative
@JetBlue TA off site at #thelodge. Should be a fun day. @YeniettElswood @AndrewBiga @CodyCleverly @HeidiMacey @motherpollock,positive
@AmericanAir No worries at all. Y’all have a good one!!,positive
@united Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,negative
@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,negative
@JetBlue you are doing a horrible job at JFK...you need to rethink how you put these routes together. Unprofessional,negative
@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!,negative
"@USAirways Every time I try, the line is disconnected b/c the system says you have too many calls. Glad your screw up matters so much to you",negative
"@USAirways yep, check it and my gmail 'Promotions' folder regularly... :-(",negative
@united my flight was supposed to depart to Boston at 4:36 and now it's departing at 6:30 due to issues with finding a pilot. Thanks a lot!!,negative
@SouthwestAir Awesome!!! Sending now.,positive
@united I left my comment with customer care. Thanks for contacting me.,positive
@AmericanAir  ugh Dump us in dfw w/no luggage then Cancelled Flight our flight 3 more times. Sat arrival now Tue?,negative
"@SouthwestAir Katie, Gate C47, Denver International, fantastic customer service helping me and 2 new flyers; thx for amazing staff!",positive
@united Connection at ORD was on the exact same plane again. Checked carry-on was apparently taken off &amp; left in Chicago. Pretty ridiculous.,negative
"@SouthwestAir Just wanted 2 change an anytime flight leaving at 11:50 @ 11:00. Phone hold 4 46mins. Phone answers, she says sorry - no dice.",negative
@united I was protected on that flight by gate agent Kerry at LAS. She also did an excellent job getting me to my destination today. Thanks!,positive
@united it's freezing on the gate bridge#waitingforbags#united#EWR,negative
@USAirways I followed you complaint procedure only to get a run around.  Your service SUCKS #usairwayssuck,negative
@AmericanAir What are we going to do about the nightmare you guys out me through yesterday? Zero response from the tweet you last sent me.,negative
@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing,negative
@AmericanAir AA 1657 was also over an hour Late Flight to depart Ohare and now we have no luggage. Not happy standing in a long line at baggage svc,negative
"@united unsmiling rep. told us hotel shuttle comes ""like every 15 minutes."" Breezy 30 min. Late Flightr we're taking a cab. You going to reimburse?",negative
@united @staralliance Now do the right thing and reinstate the tickets you voided #UnitedFail,negative
@united never ever again will I be Flight Booking Problems a flight with United or any affiliate if there is a chance to get on a United flight,negative
"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR",negative
@AmericanAir My flight 1389 from Las Vegas to DFW was Cancelled Flightled! I've been on hold forever and I still have not spoken to anyone! Pls Help,negative
@SouthwestAir your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this,negative
"@SouthwestAir Ahah😃💕🎵 That is why
I love SW✈❗(^^)❤",positive
@AmericanAir you have a company policy that refuses employees to speak to other employees over the phone? Interesting,negative
@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.,negative
@jetblue waiting for flt 105 to Chicago. Why hasn't aircraft left buffalo yet?,negative
@JetBlue Thanks so much for talking to me! The article about #Twitter chats came out great! http://t.co/rKorHvR9z1 #contentmarketing,positive
@AmericanAir been on the phone for 47 minutes...said it would be 10...  Any advice?,negative
@AmericanAir so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good,negative
"@AmericanAir great, thanks!",positive
@USAirways lol thanks to you we had to switch to American http://t.co/Sl6BDRXfN8,negative
@JetBlue can we get a honest update on departure of flite 454. Been on plane with infant children,negative
@united the emails/calls over the past months about flight changes were helpful wish you would have sent them on the Cancelled Flightlation yesterday,negative
@JetBlue *fights air*,negative
"@USAirways &amp; there are seats together, they just have fees. Seems if I'm taking a 5am flight the least you can do is wave the $10.",negative
"@USAirways - you kind of screwed my day up, at least it was outbound, but you did save it by stranding me in a @RenHotels @MarriottRewards",negative
"@united no, it was 2 flight Cancelled Flightlations (one due to weather, one mechanical) paid own hotel, bag held in transfer. No voucher/compensation",negative
@USAirways -1st x told no travel advisory-now TWO hrs on hold &amp; disconnected. Fl from BHM to Charlotte to PHL won't go-HELP!!!,negative
@united dang... I thought I was in a teleportation device! Ua514,negative
@SouthwestAir How about auto check in for CP holders? Come on.,negative
"@SouthwestAir your customer service is terrible, you're terrible, thought you should know.",negative
@united Nearly 48 hours Late Flightr and still no idea where it is. I will never fly United again if I can help it.,negative
@united Extremely disappointed in #Flight6831. United left crew and pssgrs stranded in rain @ gate with no cover. Left Psngrs 2 depart plane,negative
@SouthwestAir  on hold with customer service; you may be quicker.  I rebooked trip for a lower fare.  Where did the difference in $ go?,negative
@united 20 min more delays to flt 2086 at sfo 2 load 2 more pax makes no sense. Will strand many of us overnight at ORD due to missed cnxns,negative
@AmericanAir tried that and can't get through.,negative
@USAirways thanks for nothing,negative
@JetBlue flight 577  fll to sfo. No speed line even though I paid for it. No coffee on flight. and my non stop now has an unscheduled stop,negative
"@united I've sent the message, let me know if you got it. I'm not very twitter-literate. Also, is he REALLY going to be stuck for 18hrs?",negative
@SouthwestAir Thanks! Confirmation number just DMed. Appreciate any help!,positive
"@USAirways 7+ hrs stranded in DCA...zero apologies and the worst customer service. Been a faithful traveler for 15+ years, but no more!",negative
"@USAirways Doubt it. Gate 35x is a cluster, and every agent encounter I saw (including one with me) was outright rude. Just very put off.",negative
"@united Awesome flight crew on UA1589, re the plane,  the  Jurassic period called and they want their dinosaur/plane back!",negative
"@SouthwestAir 4 hour delay in ATL due to ""air traffic control""....love missing an entire day of my vacation #unhappycustomer #mytimeismoney",negative
@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!,negative
@AmericanAir a friend is having flight Cancelled Flightlations out of LAX to CMH on Feb 23. Anyway to help her? 800 number has been no help,negative
"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",negative
"@united Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag.",negative
@united Not encouraged that I'll have my CPAP tonight.,negative
@USAirways over two hours on hold to talk to an agent..then it disconnects me.  been trying for two days! Wtf! Hire some CSRs u make $ now,negative
"@JetBlue well, now I'll make sure to never fly JetBlue",negative
@JetBlue why do you have every channel but @ABCNetwork How are @kgonzales89 and I supposed to watch Scandal? But free FlyFi is sweet!,negative
@united - Going on 3 days (tomorrow) and I still haven't received my bag from my flight to Toronto. Would love to see some seriousness here.,negative
"@AmericanAir can you do anything to get #AA953 moving? Been almost 24 hrs and hundreds at jfk upset, tired and want to get to BA.",negative
@united you're good. Thank you!,positive
"@USAirways  I open the credit card and earn 44,000+ miles, and you wont' credit the miles to my account to restore the forfeited miles",negative
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.,positive
"@AmericanAir @nickcunningham1 Except now there is no wait time, the phone system just hangs up on you. So continuing to hold won't help.",negative
@JetBlue thank you,positive
@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,negative
"@SouthwestAir THANK YOU. I left my iPad on a plane, filled out a lost and found form. Yall found it and shipped it back. Thank you #flySW",positive
"@JetBlue, was far less painful than what was coming from Avis.  💙",positive
@united followed and messaged. Thanks so much for the help.,positive
"@SouthwestAir is there a problem with the website? I tried making changes w/ the app and the site but got ""unspecified errors""",negative
@JetBlue I wish you all the best of luck :-) I'm enjoying the luxurious free!! amount of leg space rn. Thanks,positive
"@USAirways @AmericanAir major issues getting out of Boston, but your crew has been exceptional. Let's see how things roll out in Philly.",positive
@united Is it customary to upgrade a flight attendant in uniform vs passengers? One is in 1B on flt 1020 now to IAH,negative
@United well sitting on the ground 'on time' but waiting for a gate....again #tiredofthis,negative
"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?",negative
@USAirways what is the expected wait time to speak to someone via 800 number?,negative
"@AmericanAir not only did you rebook me on the wrong day, your phone system says it can't handle the volume and hangs up on me!!!",negative
@USAirways Need to talk to a person about my bag. Waiting on hold for two hours. Bag s!b delivered last night. Online says not found.,negative
@AmericanAir this has happens so many times. It's just upsetting to see how poorly an airline treats their customers,negative
@USAirways still no rep can talk 3 days Late Flightr. U r asking me to checkin to my flight tmrw and my refund is being requested.  Deal w this!!,negative
"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",positive
@united Just saying the truth. You don't even an email! #2015,negative
@united cleaning a regional jet takes an hour?,negative
@united looks like today will be my 6th consecutive delayed flight from you...do I win a prize??? @Southwest Air why don't you fly to SBA? 😭,negative
@united that's a crazy long form! You need something other than a video?,negative
@JetBlue extra-speed line closed in Tampa. What gives?,negative
@AmericanAir work on the comm skills w hate agents at PHX. Said I was confirmed on flight out of DFW &amp; got here and that was only standby.,negative
@united very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable,negative
@AmericanAir how hard is it to have catering ready to go?,negative
@AmericanAir you can tweet but not call! You're like a bad boyfriend!,negative
@united Thanks for the vague canned response that doesn't address the issue!,negative
@VirginAmerica happy to spend the day together. Let's do this!,positive
"@united even after running to gate from your connecting flight, your customer service not let us in the plane that was just parked. Stranded",negative
@SouthwestAir no. Told to call cust service on monday,negative
@AmericanAir how can you not be taking calls? I need to change my flight!,negative
@southwestair Great job celebrating #MardiGras2015 .  You own the industry . Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,positive
"@usairways That is appreciated.  However, the system tells you call back Late Flightr then ends the call.  No need to reply, thanks.",negative
@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?,negative
@USAirways seriously buy some WD40 for A319 operating flight 634 from GEG to Phoenix. Every seat squeaks w every shift. Still on ground!,negative
@JetBlue @amybruni @DIRECTTV No Oscars on Direct TV on this flight. We were so looking forward to it. We were devastated. :-/,negative
@SouthwestAir No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss,negative
@JetBlue @JayVig I like the inflight snacks! I'm flying with you guys on 2/28! #JVMChat,positive
"@USAirways It says to call. Before connecting, get song, dance about weather. Weather bad 3 days? Called for 2 days before. #wasteoftime",negative
@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far,negative
@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,negative
@USAirways I would be willing to pay anything to change a flight! @AllegiantTravel does not! help!,negative
@SouthwestAir you're killing me!! always #delayed from #SanDiego to #SF!! #ugh,negative
@united yes when I got to the gate I specifically asked if there where any other seats.  Very discouraging to walk past the crew. 37d,negative
